0.1,
Channel,Type,Title,Mode,Index,CH-Type,Group,
PHY_IO__SPECTROMETER+OES.SPECTROM.DATA,INTERVAL,,DISABLE,0,S,,
PHY_IO__SPECTROMETER+OES.SPECTROM.WAVELENGTH,INTERVAL,,DISABLE,0,S,,
PHY_IO__SPECTROMETER+SPEC.IB1.FILTERED.DATA,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+SPEC.IB2.FILTERED.DATA,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+SPEC.IB3.FILTERED.DATA,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+SPEC.IB4.FILTERED.DATA,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+SPEC.IB5.FILTERED.DATA,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+SPEC.IB6.FILTERED.DATA,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+SPEC.IB7.FILTERED.DATA,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+SPEC.IB8.FILTERED.DATA,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+ai.Spectrum.1,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+ai.Spectrum.2,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+ai.Spectrum.3,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+ai.Spectrum.4,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+ai.Spectrum.5,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+ai.Spectrum.6,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+ai.Spectrum.7,INTERVAL,,DISABLE,0,A,,
PHY_IO__SPECTROMETER+ai.Spectrum.8,INTERVAL,,DISABLE,0,A,,
PHY_MFC1+MON.MFC.READ.FLOW,INTERVAL,mfc1.flow,ENABLE,0,A,,
PHY_MFC1+MON.MFC.SET.FLOW,INTERVAL,mfc1.set,ENABLE,0,A,,
PHY_MFC1+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC1+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC10+MON.MFC.READ.FLOW,INTERVAL,mfc10.flow,ENABLE,0,A,,
PHY_MFC10+MON.MFC.SET.FLOW,INTERVAL,mfc10.set,ENABLE,0,A,,
PHY_MFC10+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC10+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC11+MON.MFC.READ.FLOW,INTERVAL,mfc11.flow,ENABLE,0,A,,
PHY_MFC11+MON.MFC.SET.FLOW,INTERVAL,mfc11.set,ENABLE,0,A,,
PHY_MFC11+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC11+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC12+MON.MFC.READ.FLOW,INTERVAL,mfc12.flow,ENABLE,0,A,,
PHY_MFC12+MON.MFC.SET.FLOW,INTERVAL,mfc12.set,ENABLE,0,A,,
PHY_MFC12+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC12+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC17+MON.MFC.READ.FLOW,INTERVAL,mfc17.flow,ENABLE,0,A,,
PHY_MFC17+MON.MFC.SET.FLOW,INTERVAL,mfc17.set,ENABLE,0,A,,
PHY_MFC17+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC17+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC2+MON.MFC.READ.FLOW,INTERVAL,mfc2.flow,ENABLE,0,A,,
PHY_MFC2+MON.MFC.SET.FLOW,INTERVAL,mfc2.set,ENABLE,0,A,,
PHY_MFC2+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC2+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC3+MON.MFC.READ.FLOW,INTERVAL,mfc3.flow,ENABLE,0,A,,
PHY_MFC3+MON.MFC.SET.FLOW,INTERVAL,mfc3.set,ENABLE,0,A,,
PHY_MFC3+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC3+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC4+MON.MFC.READ.FLOW,INTERVAL,mfc4.flow,ENABLE,0,A,,
PHY_MFC4+MON.MFC.SET.FLOW,INTERVAL,mfc4.set,ENABLE,0,A,,
PHY_MFC4+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC4+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC5+MON.MFC.READ.FLOW,INTERVAL,mfc5.flow,ENABLE,0,A,,
PHY_MFC5+MON.MFC.SET.FLOW,INTERVAL,mfc5.set,ENABLE,0,A,,
PHY_MFC5+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC5+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC6+MON.MFC.READ.FLOW,INTERVAL,mfc6.flow,ENABLE,0,A,,
PHY_MFC6+MON.MFC.SET.FLOW,INTERVAL,mfc6.set,ENABLE,0,A,,
PHY_MFC6+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC6+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC7+MON.MFC.READ.FLOW,INTERVAL,mfc7.flow,ENABLE,0,A,,
PHY_MFC7+MON.MFC.SET.FLOW,INTERVAL,mfc7.set,ENABLE,0,A,,
PHY_MFC7+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC7+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC8+MON.MFC.READ.FLOW,INTERVAL,mfc8.flow,ENABLE,0,A,,
PHY_MFC8+MON.MFC.SET.FLOW,INTERVAL,mfc8.set,ENABLE,0,A,,
PHY_MFC8+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC8+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_MFC9+MON.MFC.READ.FLOW,INTERVAL,mfc9.flow,ENABLE,0,A,,
PHY_MFC9+MON.MFC.SET.FLOW,INTERVAL,mfc9.set,ENABLE,0,A,,
PHY_MFC9+PARA.RAMP.SEC,INTERVAL,,DISABLE,0,A,,
PHY_MFC9+PARA.SET.FLOW,INTERVAL,,DISABLE,0,A,,
PHY_VAT+MON.PRESSURE.TORR,INTERVAL,ai.Pressure.Torr,ENABLE,0,S,,
PHY_VAT+MON.PRESSURE.mTORR,INTERVAL,ai.Pressure.mTorr,ENABLE,0,S,,
